,MUNICIPIO,DEPARTAMENTO,VOTOS.x,VOTOS.y,supp
41,ANDES,ANTIOQUIA,14097,10324,73.23544016
42,ANGELOPOLIS,ANTIOQUIA,2353,1560,66.29834254
43,ANGOSTURA,ANTIOQUIA,3728,2159,57.91309013
44,ANOLAIMA,CUNDINAMARCA,5578,3388,60.73861599
45,ANORI,ANTIOQUIA,2445,991,40.53169734
46,ANSERMA,CALDAS,15514,11922,76.84671909
47,ANSERMANUEVO,VALLE DEL CAUCA,7977,5424,67.99548703
49,ANTIOQUIA,ANTIOQUIA,8820,4720,53.51473923
50,ANZA,ANTIOQUIA,2480,1764,71.12903226
51,ANZOATEGUI,TOLIMA,3464,2817,81.3221709
52,APARTADO,ANTIOQUIA,38086,13231,34.7397994
53,APIA,RISARALDA,5654,3792,67.06756279
54,APULO,CUNDINAMARCA,3923,2040,52.00101963
55,AQUITANIA,BOYACA,6932,5780,83.3814195
56,ARACATACA,MAGDALENA,11134,2909,26.12717801
57,ARANZAZU,CALDAS,5810,4472,76.9707401
58,ARATOCA,SANTANDER,3626,1902,52.45449531
59,ARAUCA,ARAUCA,29398,19070,64.86835839
60,ARAUQUITA,ARAUCA,11461,2525,22.03123637
61,ARBELAEZ,CUNDINAMARCA,4790,3327,69.45720251
62,ARBOLEDA,NARI„O,2914,2065,70.86479067
63,ARBOLEDAS,NORTE DE SANTANDER,3861,2072,53.66485366
64,ARBOLETES,ANTIOQUIA,10394,3199,30.77737156
65,ARCABUCO,BOYACA,2406,1231,51.16375727
66,ARENAL,BOLIVAR,2184,640,29.3040293
67,ARGELIA,ANTIOQUIA,2968,2522,84.97304582
68,ARGELIA,CAUCA,7814,335,4.287176862
69,ARGELIA,VALLE DEL CAUCA,2817,1674,59.42492013
71,ARIGUANI,MAGDALENA,9790,3340,34.11644535
72,ARJONA,BOLIVAR,18576,6074,32.69810508
73,ARMENIA,ANTIOQUIA,1969,1117,56.72930422
74,ARMENIA,QUINDIO,123098,56515,45.91057531
75,ARMERO,TOLIMA,4901,2073,42.29749031
76,ARROYO HONDO,BOLIVAR,2652,1340,50.52790347
78,ASTREA,CESAR,6356,2693,42.36941473
79,ATACO,TOLIMA,7473,5993,80.19537
80,ATRATO,CHOCO,3096,934,30.16795866
83,AYAPEL,CORDOBA,14291,5675,39.71030719
84,BAGADO,CHOCO,2254,508,22.53771074
85,BAHIA SOLANO,CHOCO,3009,715,23.76204719
86,BAJO BAUDO,CHOCO,2581,562,21.77450601
87,BALBOA,CAUCA,6754,544,8.05448623
88,BALBOA,RISARALDA,2988,1665,55.72289157
89,BARANOA,ATLANTICO,24934,2736,10.97296864
90,BARAYA,HUILA,2496,1478,59.21474359
