CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
50711,META,VISTAHERMOSA,40341,11480,11985
52019,NARI„O,ALBAN,1554,1001,944
8634,ATLANTICO,SABANAGRANDE,524,5448,4315
8849,ATLANTICO,USIACURI,32,141,72
5873,ANTIOQUIA,VIGIA DEL FUERTE,13633,3482,6990
8141,ATLANTICO,CANDELARIA,94,676,653
52079,NARI„O,BARBACOAS,27228,11899,11185
52207,NARI„O,CONSACA,515,1727,1700
52215,NARI„O,CORDOBA,1479,5565,3689
52224,NARI„O,CUASPUD,1551,1693,1767
52240,NARI„O,CHACHAGUI,437,1435,1309
5679,ANTIOQUIA,SANTA BARBARA,3125,2691,2477
13300,BOLIVAR,HATILLO DE LOBA,800,604,557
13433,BOLIVAR,MAHATES,5717,4030,5092
13647,BOLIVAR,SAN ESTANISLAO,1381,613,648
5051,ANTIOQUIA,ARBOLETES,27510,14352,20791
5091,ANTIOQUIA,BETANIA,2986,1440,1701
5101,ANTIOQUIA,CIUDAD BOLIVAR,4468,2602,2144
5034,ANTIOQUIA,ANDES,4216,3445,2927
13667,BOLIVAR,SAN MARTIN DE LOBA,10541,3768,4736
13673,BOLIVAR,SANTA CATALINA,1023,559,670
15104,BOYACA,BOYACA,235,92,59
15114,BOYACA,BUSBANZA,4,,
15162,BOYACA,CERINZA,30,13,8
15189,BOYACA,CIENEGA,6,23,18
15248,BOYACA,EL ESPINO,251,44,65
5120,ANTIOQUIA,CACERES,18332,8494,8126
5134,ANTIOQUIA,CAMPAMENTO,3804,1072,1197
5145,ANTIOQUIA,CARAMANTA,742,236,289
5147,ANTIOQUIA,CAREPA,20385,30004,33473
5150,ANTIOQUIA,CAROLINA,396,456,337
5656,ANTIOQUIA,SAN JERONIMO,933,749,616
5658,ANTIOQUIA,SAN JOSE DE LA MONTA„A,940,505,476
73275,TOLIMA,FLANDES,318,536,472
73283,TOLIMA,FRESNO,4583,2522,2579
73411,TOLIMA,LIBANO,16394,13441,14085
73678,TOLIMA,SAN LUIS,3134,854,1634
54810,NORTE DE SANTANDER,TIBU,62847,11778,15433
63001,QUINDIO,ARMENIA,2423,24747,27408
73555,TOLIMA,PLANADAS,22289,3946,3572
73585,TOLIMA,PURIFICACION,2662,1108,926
68397,SANTANDER,LA PAZ,618,67,28
68276,SANTANDER,FLORIDABLANCA,1039,21445,16554
68575,SANTANDER,PUERTO WILCHES,9202,5228,5205
85125,CASANARE,HATO COROZAL,3054,1852,2008
85162,CASANARE,MONTERREY,2342,1779,2339
85430,CASANARE,TRINIDAD,1633,741,673
68669,SANTANDER,SAN ANDRES,867,118,62
68745,SANTANDER,SIMACOTA,4906,687,1350
66045,RISARALDA,APIA,1535,1458,1569
68081,SANTANDER,BARRANCABERMEJA,37868,57339,57824
68179,SANTANDER,CHIPATA,143,42,38
68307,SANTANDER,GIRON,2781,19515,15665
76377,VALLE DEL CAUCA,LA CUMBRE,1284,738,830
86568,PUTUMAYO,PUERTO ASIS,44912,31570,31547
86749,PUTUMAYO,SIBUNDOY,1094,6332,6087
86760,PUTUMAYO,SANTIAGO,1877,1801,1825
86885,PUTUMAYO,VILLAGARZON,13492,8626,7748
94343,GUAINIA,BARRANCO MINAS,2774,196,134
94885,GUAINIA,LA GUADALUPE,15,7,
94886,GUAINIA,CACAHUAL,27,10,
76863,VALLE DEL CAUCA,VERSALLES,1452,320,279
23815,CORDOBA,TUCHIN,717,1020,807
25040,CUNDINAMARCA,ANOLAIMA,479,442,407
81736,ARAUCA,SARAVENA,16035,14010,14186
18001,CAQUETA,FLORENCIA,36084,114855,114830
15810,BOYACA,TIPACOQUE,23,1,1
15822,BOYACA,TOTA,19,,
15861,BOYACA,VENTAQUEMADA,34,60,48
17001,CALDAS,MANIZALES,3710,20492,19942
17088,CALDAS,BELALCAZAR,491,699,555
17653,CALDAS,SALAMINA,3318,945,994
19821,CAUCA,TORIBIO,13401,8642,9418
20032,CESAR,ASTREA,9165,2364,2631
15469,BOYACA,MONIQUIRA,262,413,375
15494,BOYACA,NUEVO COLON,28,29,25
15533,BOYACA,PAYA,529,52,60
15550,BOYACA,PISBA,449,44,32
15380,BOYACA,LA CAPILLA,38,21,16
15660,BOYACA,SAN EDUARDO,232,48,92
15759,BOYACA,SOGAMOSO,492,4214,3545
15774,BOYACA,SUSACON,161,6,10
27025,CHOCO,ALTO BAUDO,23671,10561,12290
47001,MAGDALENA,SANTA MARTA,94763,203180,205326
44847,LA GUAJIRA,URIBIA,2772,1779,1664
27077,CHOCO,BAJO BAUDO,13754,9473,9910
27413,CHOCO,LLORO,8149,3987,4264
27495,CHOCO,NUQUI,3361,1996,1233
