censo,per_si,pc1_2009,despforz,victim,lndespforz,lnvictim,Id_mun
11068,53.29210622,-0.914296508,11384,,9.339963913,,13074
17670,58.95316804,-1.050931573,2552,17,7.844632626,2.833213329,13140
6076,71.95402299,2.028259516,11668,181,9.36460495,5.198496819,13160
9346,70.8645337,-1.017794251,680,1,6.522092819,0,13188
13053,78.30045524,-0.999040067,21904,7,9.99442482,1.945910096,13212
10304,66.01382488,-1.051627517,1091,21,6.994850159,3.044522524,13222
53418,53.20023111,-0.920971274,92689,786,11.43700504,6.666956902,13244
7284,79.57639939,-1.049653292,2457,5,7.806696415,1.609437943,13248
5820,61.34680135,-1.038838744,1630,1,7.396335125,0,13268
9848,50.70962792,-1.047361135,521,,6.255750179,,13300
93554,62.31281198,-0.976322889,10168,119,9.22700119,4.779123306,13430
19421,69.75996041,-1.038166523,2903,146,7.973499775,4.983606815,13433
8814,59.69298246,-1.055440784,434,1,6.0730443,0,13440
37800,79.92018244,-0.926213384,23842,102,10.07920361,4.62497282,13442
8357,80.70346849,-0.881299675,18205,59,9.809451103,4.077537537,13458
34934,63.12849162,-0.996295691,2207,2,7.699389458,0.693147182,13468
10842,46.74070497,0.921124518,9367,4314,9.144948006,8.369621277,13473
3698,84.55497382,,,2,,0.693147182,13490
16205,61.19802388,-0.988178968,5417,1,8.597297668,0,13549
4492,77.17314488,-1.038072944,1940,2,7.570443153,0.693147182,13580
5875,69.95768688,-0.982888043,10461,40,9.255409241,3.68887949,13600
6462,86.74827036,-1.050431013,432,2,6.068425655,0.693147182,13620
14001,68.61682918,-1.060415506,880,5,6.779922009,1.609437943,13647
7937,81.99411022,-1.052475452,356,,5.874930859,,13650
20212,60.13198133,-1.01242435,23523,74,10.06573391,4.304065228,13654
6809,69.41529235,-0.944984794,2463,21,7.809135437,3.044522524,13655
30146,60.96663104,-0.975800633,19713,47,9.889033318,3.850147486,13657
10724,69.41764916,-0.998017907,6954,,8.847072601,,13667
17280,48.79832811,4.415298939,33703,1006,10.42534256,6.913737297,13670
11565,76.08131488,-0.874828935,585,11,6.371612072,2.397895336,13673
13161,64.95972382,-0.771012664,8053,35,8.993800163,3.555348158,13683
19146,37.45932947,0.250276208,10929,886,9.299175262,6.786716938,13688
11953,49.57579186,1.006625414,13488,32,9.509555817,3.465735912,13744
7990,85.35262206,-1.060415506,181,2,5.198496819,0.693147182,13760
8861,64.1509434,-1.037623286,508,1,6.230481625,0,13780
12563,55.24246396,-0.921544373,21661,75,9.983268738,4.317488194,13810
58808,59.96560097,-0.957569659,2248,68,7.717796326,4.219507694,13836
13769,68.87206058,-0.852545738,298,,5.697093487,,13838
15014,60.75102881,-1.050298929,5071,33,8.531292915,3.496507645,13873
8695,86.09816287,-0.985426188,14546,30,9.585071564,3.401197433,13894
116576,56.62267671,0.774755895,199,53,5.29330492,3.970291853,15001
1908,51.55555556,-1.04354918,35,,3.555348158,,15022
